UV1 (215 nm)_time,UV1 (215 nm)_mAU,UV2 (255 nm)_time,UV2 (255 nm)_mAU,UV3 (280 nm)_time,UV3 (280 nm)_mAU,UV4 (495 nm)_time,UV4 (495 nm)_mAU,Conductivity_time,Conductivity_mS/cm,%B_time,%B_%,pH theoretical_time,pH theoretical,pH_time,pH,System Pressure_time,System Pressure_MPa,PreCol Pressure_time,PreCol Pressure_MPa,delta Col Pressure_time,delta Col Pressure_MPa,Temperature_time,Temperature_C,Flow Rate_time,Flow Rate_ml/min
17.8807068506877,56.0019984841347,17.8807068506877,0.47999998787418,17.8807068506877,0.911000010091811,17.8807068506877,-2.80099990777671,17.8807068506877,46.5842247009277,,,,,17.8807068506877,7.79833984375,,,,,,,17.8807068506877,27.1855621337891,,
17.8883891423543,56.0230016708374,17.8883891423543,0.469999999040738,17.8883891423543,0.903000007383525,17.8883891423543,-2.80099990777671,17.8883891423543,46.6133575439453,,,,,17.8883891423543,7.79833984375,,,,,,,17.8883891423543,27.1855621337891,,
17.8909241358439,56.0230016708374,17.8909241358439,0.469999999040738,17.8909241358439,0.903000007383525,17.8909241358439,-2.80099990777671,17.8909241358439,46.6133575439453,,,,,17.8909241358439,7.79833984375,,,,,,,17.8909241358439,27.1855621337891,,
17.8935893376668,56.0330003499985,17.8935893376668,0.464999990072101,17.8935893376668,0.903000007383525,17.8935893376668,-2.79600010253489,17.8935893376668,46.6424903869629,,,,,17.8935893376668,7.79833984375,,,,,,,17.8935893376668,27.1855621337891,,
17.8969747543335,56.0330003499985,17.8969747543335,0.464999990072101,17.8969747543335,0.903000007383525,17.8969747543335,-2.79600010253489,17.8969747543335,46.6424903869629,,,,,17.8969747543335,7.79833984375,,,,,,,17.8969747543335,27.1855621337891,,
17.900573794047,56.0330003499985,17.900573794047,0.460000010207295,17.900573794047,0.908999994862825,17.900573794047,-2.79600010253489,17.900573794047,46.6716270446777,,,,,17.900573794047,7.79833984375,,,,,,,17.900573794047,27.1855621337891,,
17.9067912419637,56.0210011899471,17.9067912419637,0.459000002592802,17.9067912419637,0.897000019904226,17.9067912419637,-2.81299999915063,17.9067912419637,46.700756072998,,,,,17.9067912419637,7.79833984375,,,,,,,17.9067912419637,27.1855621337891,,
17.9093242009481,56.0210011899471,17.9093242009481,0.455000001238659,17.9093242009481,0.895000004675239,17.9093242009481,-2.83499993383884,17.9093242009481,46.700756072998,,,,,17.9093242009481,7.796875,,,,,,,17.9093242009481,27.1855621337891,,
17.9132406234741,56.0210011899471,17.9132406234741,0.455000001238659,17.9132406234741,0.895000004675239,17.9132406234741,-2.83499993383884,17.9132406234741,46.7298927307129,,,,,17.9132406234741,7.796875,,,,,,,17.9132406234741,27.1855621337891,,
17.9164409001668,56.0140013694763,17.9164409001668,0.449999992270023,17.9164409001668,0.896000012289733,17.9164409001668,-2.82899988815188,17.9164409001668,46.7298927307129,,,,,17.9164409001668,7.796875,,,,,,,17.9164409001668,27.1855621337891,,
17.9197754542033,56.0039989650249,17.9197754542033,0.445000012405217,17.9197754542033,0.892999989446253,17.9197754542033,-2.82400008291006,17.9197754542033,46.7590217590332,,,,,17.9197754542033,7.796875,,,,,,,17.9197754542033,27.1855621337891,,
17.9275920232137,55.9750013053417,17.9275920232137,0.437999988207594,17.9275920232137,0.890000024810433,17.9275920232137,-2.83099990338087,17.9275920232137,46.7881546020508,,,,,17.9275920232137,7.796875,,,,,,,17.9275920232137,27.1855621337891,,
17.9298584620158,55.9750013053417,17.9298584620158,0.437999988207594,17.9298584620158,0.890000024810433,17.9298584620158,-2.83099990338087,17.9298584620158,46.7881546020508,,,,,17.9298584620158,7.796875,,,,,,,17.9298584620158,27.1855621337891,,
17.9322591781616,55.9390000998974,17.9322591781616,0.426000013248995,17.9322591781616,0.875999976415187,17.9322591781616,-2.83699994906783,17.9322591781616,46.8172912597656,,,,,17.9322591781616,7.796875,,,,,,,17.9322591781616,27.1855621337891,,
17.9356425603231,55.9390000998974,17.9356425603231,0.426000013248995,17.9356425603231,0.875999976415187,17.9356425603231,-2.83699994906783,17.9356425603231,46.8172912597656,,,,,17.9356425603231,7.796875,,,,,,,17.9356425603231,27.1855621337891,,
17.9389771143595,55.902998894453,17.9389771143595,0.410000007832423,17.9389771143595,0.862999993842095,17.9389771143595,-2.86399992182851,17.9389771143595,46.8464279174805,,,,,17.9389771143595,7.796875,,,,,,,17.9389771143595,27.1855621337891,,
17.9465271631877,55.8740012347698,17.9465271631877,0.407000014092773,17.9465271631877,0.861999986227602,17.9465271631877,-2.86099989898503,17.9465271631877,46.8755531311035,,,,,17.9465271631877,7.796875,,,,,,,17.9465271631877,27.1855621337891,,
17.949060122172,55.8229982852936,17.949060122172,0.398000003769994,17.949060122172,0.861999986227602,17.949060122172,-2.86399992182851,17.949060122172,46.8755531311035,,,,,17.949060122172,7.796875,,,,,,,17.949060122172,27.1855621337891,,
17.9519104639689,55.782001465559,17.9519104639689,0.387000007322058,17.9519104639689,0.84900000365451,17.9519104639689,-2.86299991421402,17.9519104639689,46.9046897888184,,,,,17.9519104639689,7.796875,,,,,,,17.9519104639689,27.1855621337891,,
17.9555095036825,55.782001465559,17.9555095036825,0.387000007322058,17.9555095036825,0.84900000365451,17.9555095036825,-2.86299991421402,17.9555095036825,46.9046897888184,,,,,17.9555095036825,7.796875,,,,,,,17.9555095036825,27.1855621337891,,
17.9588440577189,55.7279996573925,17.9588440577189,0.377999996999279,17.9588440577189,0.834000005852431,17.9588440577189,-2.87099997512996,17.9588440577189,46.9314270019531,,,,,17.9588440577189,7.796875,,,,,,,17.9588440577189,27.1855621337891,,
17.9667949040731,55.6869991123676,17.9667949040731,0.365000014426187,17.9667949040731,0.821000023279339,17.9667949040731,-2.88900011219084,17.9667949040731,46.9605598449707,,,,,17.9667949040731,7.796875,,,,,,,17.9667949040731,27.1855621337891,,
